unit_id,unit_title,lesson_id,lesson_title,lesson_activity,lesson_activity_name,lesson_notes,lesson_video_id,lesson_objectives
2,Course Motivation: Big Data and Clouds,6,Research Model: 4th Paradigm; From Theory to Data driven science?,,,assets/slides/Lecture_2.pptx,-7hABgDO5Iw,"<p>Geoffrey introduces the 4 paradigms of scientific research with the focus on the new fourth data driven methodology.</p>"
2,Course Motivation: Big Data and Clouds,7,Data Science Process,,,assets/slides/Lecture_2.pptx,Sw2Kmx9XdUc,"<p>Geoffrey introduces the DIKW data to information to knowledge to wisdom paradigm. Data flows through cloud services transforming itself and emerging as new information to input into other transformations.</p>"
2,Course Motivation: Big Data and Clouds,8,Physics-Informatics Looking for Higgs Particle with Large Hadron Collider LHC,,,assets/slides/Lecture_2.pptx,FjmJE2-MqyY,"<p>Geoffrey looks at important particle physics example where the Large hadron Collider has observed the Higgs Boson. He shows this discovery as a bump in a histogram; something that so amazed him 50 years ago that he got a PhD in this field. He left field partly due to the incredible size of author lists on papers</p>"
2,Course Motivation: Big Data and Clouds,9,Recommender Systems I,,,assets/slides/Lecture_2.pptx,IjyxClo4bSE,"<p>Many important applications involve matching users, web pages, jobs, movies, books, events etc. These are all optimization problems with recommender systems one important way of performing this optimization. Geoffrey goes through the example of Netflix -- everything is a recommendation and muses about the power of viewing all sorts of things as items in a bag or more abstractly some space with funny properties</p>"
2,Course Motivation: Big Data and Clouds,10,Recommender Systems II,,,assets/slides/Lecture_2.pptx,_fW9A0kZGW0,"<p>Many important applications involve matching users, web pages, jobs, movies, books, events etc. These are all optimization problems with recommender systems one important way of performing this optimization. Geoffrey goes through the example of Netflix -- everything is a recommendation and muses about the power of viewing all sorts of things as items in a bag or more abstractly some space with funny properties</p>"
2,Course Motivation: Big Data and Clouds,11,Web Search and Information Retrieva,,,assets/slides/Lecture_2.pptx,Nwi7Hxzf6As,"<p>This course also looks at Web Search and here Geoffrey gives an overview of the data analytics for web search, Pagerank as a method of ranking web pages returned and uses material from Yahoo on the subtle algorithms for dynamic personalized choice of material for web pages.</p>"
2,Course Motivation: Big Data and Clouds,12,Cloud Application in Research,,,assets/slides/Lecture_2.pptx,gKf2RgwR6sM,"<p>Geoffrey describes scientific applications and how they map onto clouds, supercomputers, grids and high throughput systems. He likes the cloud use of the Internet of Things and gives examples.</p>"
2,Course Motivation: Big Data and Clouds,13,Parallel Computing and MapReduce,,,assets/slides/Lecture_2.pptx,r-blNidPQCE,"<p>Geoffrey defines MapReduce and gives a homely example from fruit blending.</p>"
2,Course Motivation: Big Data and Clouds,14,Data Science Education,,,assets/slides/Lecture_2.pptx,hX1Y3fmDtdQ,"<p>Geoffrey discusses one reason you are taking this course -- Data Science as an educational initiative and aspects of its Indiana University implementation. Then general; features of online education are discussed with clear growth spearheaded by MOOC's where Geoffrey uses this course and others as an example. He stresses the choice between one class to 100,000 students or 2,000 classes to 50 students and an online library of MOOC lessons. In olden days he suggested ''hermit's cage virtual university'' -- gurus in isolated caves putting together exciting curricula outside the traditional university model. Grading and mentoring models and important online tools are discussed. Clouds have MOOC's describing them and MOOC's are stored in clouds; a pleasing symmetry.</p>"
2,Course Motivation: Big Data and Clouds,15,Conclusions,,,assets/slides/Lecture_2.pptx,Ua0_aaTOpZQ,"<p>The conclusions highlight clouds, data-intensive methodology, employment, data science, MOOC's and never forget the Big Data ecosystem in one sentence ''Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics educated in data science''</p>"
3,Part I: Data Science generics and Commercial Data Deluge,1,What is X-Informatics and its Motto,,What is X-Informatics and its Motto,assets/slides/Lecture_3.pdf,AKkyWF95Fp4,"<p>This discusses trends that are driven by and accompany Big data. We give some key terms including data, information, knowledge, wisdom, data analytics and data science. WE introduce the motto of the course: Use Clouds running Data Analytics Collaboratively processing Big Data to solve problems in X-Informatics. We list many values of X you can defined in various activities across the world.</p>"
3,Part I: Data Science generics and Commercial Data Deluge,2,Jobs,,Jobs,assets/slides/Lecture_3.pdf,pRlfEigUJAc,<p>Big data is especially important as there are some many related jobs. We illustrate this for both cloud computing and data science from reports by Microsoft and the McKinsey institute respectively. We show a plot from LinkedIn showing rapid increase in the number of data science and analytics jobs as a function of time.</p>
3,Part I: Data Science generics and Commercial Data Deluge,3,Data Deluge -- General Structure,,General Structure,assets/slides/Lecture_3.pdf,mPJ9twAFRQU,<p>We look at some broad features of the data deluge starting with the size of data in various areas especially in science research. We give examples from real world of the importance of big data and illustrate how it is integrated into an enterprise IT architecture. We give some views as to what characterizes Big data and why data science is a science that is needed to interpret all the data.</p>
3,Part I: Data Science generics and Commercial Data Deluge,4,Data Science -- Process,,Data Science Process,assets/slides/Lecture_3.pdf,ydH34L-z0Rk,"<p>We stress the DIKW pipeline: Data becomes information that becomes knowledge and then wisdom, policy and decisions. This pipeline is illustrated with Google maps and we show how complex the ecosystem of data, transformations (filters) and its derived forms is.</p>"
3,Part I: Data Science generics and Commercial Data Deluge,5,Data Deluge -- Internet,,Internet,assets/slides/Lecture_3.pdf,rtuq5y2Bx2g,"<p>We give examples of Big data from the Internet with Tweets, uploaded photos and an illustration of the vitality  and size of many commodity applications.</p>"
3,Part I: Data Science generics and Commercial Data Deluge,6,Data Deluge -- Business I,,,assets/slides/Lecture_3.pdf,PJz38t6yn_s,"<p>We give examples including the Big data that enables wind farms, city transportation, telephone operations, machines with health monitors, the banking,  manufacturing and retail industries both online and offline in shopping malls. We give examples from ebay showing how analytics allowing them to refine and improve the customer experiences.</p>"
3,Part I: Data Science generics and Commercial Data Deluge,7,Data Deluge -- Business II,,,assets/slides/Lecture_3.pdf,fESm-2Vox9M,"<p>We give examples including the Big data that enables wind farms, city transportation, telephone operations, machines with health monitors, the banking,  manufacturing and retail industries both online and offline in shopping malls. We give examples from ebay showing how analytics allowing them to refine and improve the customer experiences.</p>"
3,Part I: Data Science generics and Commercial Data Deluge,8,Data Deluge -- Business III,,,assets/slides/Lecture_3.pdf,fcvn-IxPO00,"<p>We give examples including the Big data that enables wind farms, city transportation, telephone operations, machines with health monitors, the banking,  manufacturing and retail industries both online and offline in shopping malls. We give examples from ebay showing how analytics allowing them to refine and improve the customer experiences.</p>"
4,Part II: Data Deluge and Scientific Applications and Methodology,1,Science & Research I,,Science & Research I,assets/slides/Lecture_4.pdf,u1h6bAkuWQ8,"<p>We look into more big data examples with a focus on science and research. We give astronomy, genomics, radiology, particle physics and discovery of Higgs particle (Covered in more detail in later lessons), European Bioinformatics Institute and contrast to Facebook and Walmart</p>"
4,Part II: Data Deluge and Scientific Applications and Methodology,2,Science & Research II,,Science & Research II,assets/slides/Lecture_4.pdf,_JfcUg2cheg,"<p>We look into more big data examples with a focus on science and research. We give astronomy, genomics, radiology, particle physics and discovery of Higgs particle (Covered in more detail in later lessons), European Bioinformatics Institute and contrast to Facebook and Walmart</p>"
4,Part II: Data Deluge and Scientific Applications and Methodology,3,Implications for Scientific Method,,Implications for Scientific Method,assets/slides/Lecture_4.pdf,srEbOAmU_g8,<p>We discuss the emergences of a new fourth methodology for scientific research based on data driven inquiry. We contrast this with third -- computation or simulation based discovery - methodology which emerged itself some 25 years ago.</p>
4,Part II: Data Deluge and Scientific Applications and Methodology,4,Long Tail of Science,,Long Tail of Science,assets/slides/Lecture_4.pdf,dwzEKEGYhqE,<p>There is big science such as particle physics where a single experiment has 3000 people collaborate!.Then there are individual investigators who don't generate a lot of data each but together they add up to Big data.</p>
4,Part II: Data Deluge and Scientific Applications and Methodology,5,Internet of Things,,Internet of Things,assets/slides/Lecture_4.pdf,K2anbyxX48w,"<p>A final category of Big data comes from the Internet of Things where lots of small devices -- smart phones, web cams, video games collect and disseminate data and are controlled and coordinated in the cloud</p>"
5,Part III: Clouds and Big Data Processing; Data Science Process and Analytics,1,Clouds,,Clouds,assets/slides/Lecture_5.pdf,8RBzooC_2Fw,"<p>We describe cloud data centers with their staggering size with up to a million servers in a single data center and centers built modularly from shipping containers full of racks. The benefits of Clouds in terms of power consumption and the environment are also touched upon, followed by a list of the most critical features of Cloud computing and a comparison to supercomputing.</p>"
5,Part III: Clouds and Big Data Processing; Data Science Process and Analytics,2,Features of Data Deluge I,,Features of Data Deluge I,assets/slides/Lecture_5.pdf,FMktnTQGyrw,"<p>Data, Information, intelligence algorithms, infrastructure, data structure, semantics and knowledge are related. The semantic web and Big data are compared. We give an example where ''More data usually beats better algorithms''. We discuss examples of intelligent big data and list 8 different types of data deluge</p>"
5,Part III: Clouds and Big Data Processing; Data Science Process and Analytics,3,Features of Data Deluge II,,Features of Data Deluge II,assets/slides/Lecture_5.pdf,QNVZobXHiZw,"<p>Data, Information, intelligence algorithms, infrastructure, data structure, semantics and knowledge are related. The semantic web and Big data are compared. We give an example where ''More data usually beats better algorithms''. We discuss examples of intelligent big data and list 8 different types of data deluge</p>"
5,Part III: Clouds and Big Data Processing; Data Science Process and Analytics,4,Data Science Process,,Data Science Process,assets/slides/Lecture_5.pdf,lpQ-Q9ZidR4,<p>We describe and critique one view of the work of a data scientists. Then we discuss and contrast 7 views of the process needed to speed data through the DIKW pipeline.</p>
5,Part III: Clouds and Big Data Processing; Data Science Process and Analytics,5,Data Analytics I,,,assets/slides/Lecture_5.pdf,RPVojR8jrb8,<p>We stress the importance of data analytics giving examples from several fields. We note that better analytics is as important as better computing and storage capability.</p>
5,Part III: Clouds and Big Data Processing; Data Science Process and Analytics,6,Data Analytics II,,,assets/slides/Lecture_5.pdf,wOSgywqdJDY,<p>We stress the importance of data analytics giving examples from several fields. We note that better analytics is as important as better computing and storage capability.</p>
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",1,Introduction,,,assets/slides/Lecture_6.pdf,Gh0WWPJbuJc,"<p>This section is meant to give an overview of the python tools needed for doing for this course. These are really powerful tools which every data scientist who wishes to use python must know. This section covers Canopy, NumPy, MatPlotLib, and Scipy.</p>"
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",2,Canopy,,,assets/slides/Lecture_6.pdf,x7IQL5YvDwk,<p>Canopy - Its is an IDE for python developed by EnThoughts. The aim of this IDE is to bring the various python libraries under one single framework or ''Canopy'' - that is why the name.</p>
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",3,Numpy 1,,,assets/slides/Lecture_6.pdf,mN_JpGO9Y6s,"<p>NumPy - It is popular library on top of which many other libraries (like pandas, scipy) are built. It provides a way a vectorizing data. This helps to organize in a more intuitive fashion and also helps us use the various matrix operations which are popularly used by the machine learning community.</p>"
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",4,Numpy 2,,,assets/slides/Lecture_6.pdf,7QfW7AT7UNU,"<p>NumPy - It is popular library on top of which many other libraries (like pandas, scipy) are built. It provides a way a vectorizing data. This helps to organize in a more intuitive fashion and also helps us use the various matrix operations which are popularly used by the machine learning community.</p>"
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",5,Numpy 3,,,assets/slides/Lecture_6.pdf,Ccb67Q5gpsk,"<p>NumPy - It is popular library on top of which many other libraries (like pandas, scipy) are built. It provides a way a vectorizing data. This helps to organize in a more intuitive fashion and also helps us use the various matrix operations which are popularly used by the machine learning community.</p>"
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",6,Matplotlib 1,,,assets/slides/Lecture_6.pdf,3UOvB5OmtYE,"<p>Matplotlib: This a data visualization package. It allows you to create graphs charts and other such diagrams. It supports Images in JPEG, GIF, TIFF format.</p>"
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",7,Matplotlib 2,,,assets/slides/Lecture_6.pdf,9ONSnsN4hcg,"<p>Matplotlib: This a data visualization package. It allows you to create graphs charts and other such diagrams. It supports Images in JPEG, GIF, TIFF format.</p>"
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",8,Scipy 1,,,assets/slides/Lecture_6.pdf,lpC6Mn-09jY,"<p>SciPy: SciPy is a library built above numpy and has a number of off the shelf algorithms / operations implemented. These include algorithms from calculus(like integration), statistics, linear algebra, image-processing, signal processing, machine learning, etc.</p>"
6,"Python for Big Data and X-Informatics: NumPy, SciPy, MatPlotlib",9,Scipy 2,,,assets/slides/Lecture_6.pdf,-XKBz7qCUqw,"<p>SciPy: SciPy is a library built above numpy and has a number of off the shelf algorithms / operations implemented. These include algorithms from calculus(like integration), statistics, linear algebra, image-processing, signal processing, machine learning, etc.</p>"
7,Using FutureGrid for Java and Python,1,FutureGrid Overview,,,assets/slides/Lecture_7.pdf,RibpNSyd4qg,<p>In this video Geoffrey introduces Future Grid in terms of its services and features</p>
7,Using FutureGrid for Java and Python,2,Create FG Portal Account,,,assets/slides/Lecture_7.pdf,c7mjKI8mJws,"<p>This lesson explains how to create a portal account, which is the first step in gaining access to FutureGrid</p>"
7,Using FutureGrid for Java and Python,3,Upload an OpenId,,,assets/slides/Lecture_7.pdf,rZzpCYWDEpI,<p>This lesson explains how to upload and use OpenID to easily log into the FutureGrid portal.</p>
7,Using FutureGrid for Java and Python,4,Upload SSH Key,,,assets/slides/Lecture_7.pdf,4wjVwQbOlSU,<p>This lesson explains how to upload and use a SSH key to log to the FutureGrid resources</p>
7,Using FutureGrid for Java and Python,5,Joining the FG project,,,assets/slides/Lecture_7.pdf,aO5B_OQrQ5Q,<p>This lesson explains how to join a FutureGrid project</p>
7,Using FutureGrid for Java and Python,6,Logging into FG,,,assets/slides/Lecture_7.pdf,pI_oHBijrAc,<p>This lesson explains how to log into FG and our customized shell and menu options that will simplify management of the VMs for this upcoming lessons.</p>
7,Using FutureGrid for Java and Python,7,VM Management,,,assets/slides/Lecture_7.pdf,YyJpBmqocYU,"<p>This lesson is about VM management and explains how to start the VM, login to it etc.</p>"
7,Using FutureGrid for Java and Python,8,Accessing IPython and running Python examples,,,assets/slides/Lecture_7.pdf,V9WDTQQxGr8,<p>This lesson talks about IPython and how to create and execute python programs.</p>
7,Using FutureGrid for Java and Python,9,Running Java and Python on FG,,,assets/slides/Lecture_7.pdf,ecFW6AafMuQ,<p>This lesson explains about Running Java and Python on FG</p>
8,"I: Looking for Higgs Particles, Bumps in Histograms, Experiments and Accelerators",1,Looking for Higgs Particle and Counting Introduction I,,,assets/slides/Lecture_8.pptx,VQAupoFUWTg,<p>We return to particle case with slides used in introduction and stress that particles often manifested as bumps in histograms and those bumps need to be large enough to stand out from background in a statistically significant fashion.</p>
8,"I: Looking for Higgs Particles, Bumps in Histograms, Experiments and Accelerators",2,Looking for Higgs Particle and Counting Introduction II,,,assets/slides/Lecture_8.pptx,UAMzmOgjj7I,<p>We give a few details on one LHC experiment ATLAS. Experimental physics papers have a staggering number of authors and quite big budgets. Feynman diagrams describe processes in a fundamental fashion.</p>
8,"I: Looking for Higgs Particles, Bumps in Histograms, Experiments and Accelerators",3,Physics-Informatics Looking for Higgs Particle Experiments,,,assets/slides/Lecture_8.pptx,BW12d780qT8,<p>We give a few details on one LHC experiment ATLAS. Experimental physics papers have a staggering number of authors and quite big budgets. Feynman diagrams describe processes in a fundamental fashion.</p>
8,"I: Looking for Higgs Particles, Bumps in Histograms, Experiments and Accelerators",4,Accelerator Picture Gallery of Big Science,,,assets/slides/Lecture_8.pptx,WLJIxWWMYi8,"<p>This lesson gives a small picture gallery of accelerators. Accelerators, detection chambers and magnets in tunnels and a large underground laboratory used fpr experiments where you need to be shielded from background like cosmic rays</p>"
9,II: Looking for Higgs Particles: Python Event Counting for Signal and Background,1,Physics Use Case II 1: Class Software,,,assets/slides/Lecture_9.pptx,tOFJEUM-Vww,<p>We discuss how this unit uses Java and Python on both a backend server (FutureGrid) or a local client. WE point out useful book on Python for data analysis. This builds on technology training in Section 3</p>
9,II: Looking for Higgs Particles: Python Event Counting for Signal and Background,2,Physics Use Case II 2: Event Counting,,,assets/slides/Lecture_9.pptx,h8-szCeFugQ,<p>We define ''event counting'' data collection environments. We discuss the python and Java code to generate events according to a particular scenario (the important idea of Monte Carlo data). Here a sloping background plus either a Higgs particle generated similarly to LHC observation or one observed with better resolution (smaller measurement error).</p>
9,II: Looking for Higgs Particles: Python Event Counting for Signal and Background,3,Physics Use Case II 3: With Python examples of Signal plus Background,,,assets/slides/Lecture_9.pptx,bl2f0tAzLj4,<p>This uses Monte Carlo data both to generate data like the experimental observations and explore effect of changing amount of data and changing measurement resolution for Higgs.</p>
9,II: Looking for Higgs Particles: Python Event Counting for Signal and Background,4,Physics Use Case II 4: Change shape of background & num of Higgs Particles,,,assets/slides/Lecture_9.pptx,bw3fd5cfQhk,<p>This lesson continues the examination of Monte Carlo data looking at effect of change in number of Higgs particles produced and in change in shape of background</p>
10,"III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions",1,Statistics Overview and Fundamental Idea: Random Variables,,Random Variables,assets/slides/Lecture_10.pptx,0oZzALLzYBM,<p>We go through the many different areas of statistics covered in the Physics unit. We define the statistics concept of a random variable.</p>
10,"III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions",2,Physics and Random Variables I,,Physics and Random Variables,assets/slides/Lecture_10.pptx,Tn3GBxgplxg,<p>We describe the DIKW pipeline for the analysis of this type of physics experiment and go through details of analysis pipeline for the LHC ATLAS experiment. We give examples of event displays showing the final state particles seen in a few events. We illustrate how physicists decide whats going on with a plot of expected Higgs production experimental cross sections (probabilities) for signal and background.</p>
10,"III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions",3,Physics and Random Variables II,,Physics and Random Variables,assets/slides/Lecture_10.pptx,qWEjp0OtvdA,<p>We describe the DIKW pipeline for the analysis of this type of physics experiment and go through details of analysis pipeline for the LHC ATLAS experiment. We give examples of event displays showing the final state particles seen in a few events. We illustrate how physicists decide whats going on with a plot of expected Higgs production experimental cross sections (probabilities) for signal and background.</p>
10,"III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions",4,Statistics of Events with Normal Distributions,,Statistics of Events with Normal Distributions I,assets/slides/Lecture_10.pptx,LMBtpWOOQLo,<p>We introduce Poisson and Binomial distributions and define independent identically distributed (IID) random variables. We give the law of large numbers defining the errors in counting and leading to Gaussian distributions for many things. We demonstrate this in Python experiments.</p>
10,"III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions",5,Gaussian Distributions,,Statistics of Events with Normal Distributions II,assets/slides/Lecture_10.pptx,LWIbPa-P5W0,<p>We introduce the Gaussian distribution and give Python examples of the fluctuations in counting Gaussian distributions.</p>
10,"III: Looking for Higgs Particles: Random Variables, Physics and Normal Distributions",6,Using Statistics,,,assets/slides/Lecture_10.pptx,n4jlUrGwgic,<p>We discuss the significance of a standard deviation and role of biases and insufficient statistics with a Python example in getting incorrect answers.</p>
11,"IV: Looking for Higgs Particles: Random Numbers, Distributions and Central Limit Theorem",1,Generators and Seeds I,,,assets/slides/Lecture_11.pptx,76jbRphjRWo,<p>We define random numbers and describe how to generate them on the computer giving Python examples. We define the seed used to define to specify how to start generation.</p>
11,"IV: Looking for Higgs Particles: Random Numbers, Distributions and Central Limit Theorem",2,Generators and Seeds II,,,assets/slides/Lecture_11.pptx,9QY5qkQj2Ag,<p>We define random numbers and describe how to generate them on the computer giving Python examples. We define the seed used to define to specify how to start generation.</p>
11,"IV: Looking for Higgs Particles: Random Numbers, Distributions and Central Limit Theorem",3,Binomial Distribution,,,assets/slides/Lecture_11.pptx,DPd-eVI_twQ,<p>We define binomial distribution and give LHC data as an eaxmple of where this distribution valid.</p>
11,"IV: Looking for Higgs Particles: Random Numbers, Distributions and Central Limit Theorem",4,Accept-Reject,,,assets/slides/Lecture_11.pptx,GfshkKMKCj8,<p>We introduce an advanced method -- accept/reject -- for generating random variables with arbitrary distrubitions.</p>
11,"IV: Looking for Higgs Particles: Random Numbers, Distributions and Central Limit Theorem",5,Monte Carlo Method,,,assets/slides/Lecture_11.pptx,kIQ-BTyDfOQ,<p>We define Monte Carlo method which usually uses accept/reject method in typical case for distribution.</p>
11,"IV: Looking for Higgs Particles: Random Numbers, Distributions and Central Limit Theorem",6,Poisson Distribution,,,assets/slides/Lecture_11.pptx,WFvgsVo-k4s,<p>We extend the Binomial to the Poisson distribution and give a set of amusing examples from Wikipedia.</p>
11,"IV: Looking for Higgs Particles: Random Numbers, Distributions and Central Limit Theorem",7,Central Limit Theorem,,,assets/slides/Lecture_11.pptx,ZO53iKlPn7c,<p>We introduce Central Limit Theorem and give examples from Wikipedia.</p>
11,"IV: Looking for Higgs Particles: Random Numbers, Distributions and Central Limit Theorem",8,Interpretation of Probability: Bayes v. Frequency,,,assets/slides/Lecture_11.pptx,jzDkExAQI9M,<p>This lesson describes difference between Bayes and frequency views of probability. Bayes's law of conditional probability is derived and applied to Higgs example to enable information about Higgs from multiple channels and multiple experiments to be accumulated.</p>
12,Overview of NIST Big Data Public Working Group (NBD-PWG) Process and Results,1,Introduction to NIST Big Data Public Working Group (NBD-PWG) Process,,,assets/slides/Lecture_12.pptx,ofRfHBKpyvg,"<p>The focus of the (NBD-PWG) is to form a community of interest from industry, academia, and government, with the goal of developing a consensus definitions, taxonomies, secure reference architectures, and technology roadmap.  The aim is to create vendor-neutral, technology and infrastructure agnostic deliverables to enable big data stakeholders to pick-and-choose best analytics tools for their processing and visualization requirements on the most suitable computing platforms and clusters while allowing value-added from big data service providers and flow of data between the stakeholders in a cohesive and secure manner.</p>"
12,Overview of NIST Big Data Public Working Group (NBD-PWG) Process and Results,2,Definitions and Taxonomies Subgroup,,,assets/slides/Lecture_12.pptx,sGshHN-DdbE,"<p>The focus is to gain a better understanding of the principles of Big Data. It is important to develop a consensus-based common language and vocabulary terms used in Big Data across stakeholders from industry, academia, and government.  In addition, it is also critical to identify essential actors with roles and responsibility, and subdivide them into components and sub-components on how they interact/ relate with each other according to their similarities and differences.</p><p>For Definitions: Compile terms used from all stakeholders regarding the meaning of Big Data from various standard bodies, domain applications, and diversified operational environments. For Taxonomies: Identify key actors with their roles and responsibilities from all stakeholders, categorize them into components and subcomponents based on their similarities and differences. In particular data Science and Big Data terms are discussed</p>"
12,Overview of NIST Big Data Public Working Group (NBD-PWG) Process and Results,3,Reference Architecture Subgroup,,,assets/slides/Lecture_12.pptx,JV596ZH36YA,"<p>The focus is to form a community of interest from industry, academia, and government, with the goal of developing a consensus-based approach to orchestrate vendor-neutral, technology and infrastructure agnostic for analytics tools and computing environments. The goal is to enable Big Data stakeholders to pick-and-choose technology-agnostic analytics tools for processing and visualization in any computing platform and cluster while allowing value-added from Big Data service providers and  the flow of the data between the stakeholders in a cohesive and secure manner. Results include a reference architecture with well defined components and linkage as well as several exemplars</p>"
12,Overview of NIST Big Data Public Working Group (NBD-PWG) Process and Results,4,Security and Privacy Subgroup,,,assets/slides/Lecture_12.pptx,Gbk0LaWE3lM,"<p>The focus is to form a community of interest from industry, academia, and government, with the goal of developing a consensus secure reference architecture to handle security and privacy issues across all stakeholders.  This includes gaining an understanding of what standards are available or under development, as well as identifies which key organizations are working on these standards. The Top Ten Big Data Security and Privacy Challenges from the CSA (Cloud Security Alliance) BDWG are studied. Specialized use cases include Retail/Marketing, Modern Day Consumerism, Nielsen Homescan, Web Traffic Analysis, Healthcare, Health Information Exchange, Genetic Privacy, Pharma Clinical Trial Data Sharing, Cyber-security, Government, Military and Education.</p>"
